tenure_months,monthly_charges,total_charges,contract_monthly,contract_one_year,contract_two_year,tech_support,num_services,senior_citizen,churned
11.262434159444618,38.66052239730317,444.0588001192824,1,0,0,0,1,0,1
72.0,40.1935893788042,2901.8723730884503,1,0,0,0,4,0,1
31.601896645090783,58.2056332429542,1761.485373215702,1,0,0,0,3,0,1
21.910621290622878,76.02096520448535,1501.2534138134597,1,0,0,1,6,0,0
4.070996891096311,92.40753878699749,375.90784908903396,1,0,0,0,1,0,0
4.070311005950524,40.90463147958965,159.35614986189057,0,0,1,1,1,0,1
1.4361304466083362,109.78065706878564,165.05698222560432,0,1,0,0,4,1,1
48.26954074751855,56.86629196872293,2483.564885240255,0,0,1,0,1,0,1
22.057971687054348,64.35898116954692,1443.7133815826603,0,0,1,1,5,0,0
29.55000148091017,42.5836496255653,1369.4524579757644,0,1,0,0,1,0,0
1.0,20.0,18.697637068446,1,0,0,0,6,0,1
72.0,91.52136189083149,6552.174704217889,0,1,0,1,5,0,0
42.8743090405122,87.105316912773,3429.4068022447,0,0,1,1,1,0,0
5.728503005974728,56.5601732864536,332.1494393703291,0,1,0,1,2,0,0
4.8162957299919205,67.00972151674615,326.0003407391839,0,1,0,0,1,0,1
4.862674147974169,80.47817653112298,384.0888491188457,1,0,0,0,5,0,1
8.706089507051452,20.0,174.86623119040726,0,0,1,1,1,0,0
17.854267940660506,49.128419679611156,946.7232169245642,0,1,0,1,1,0,0
13.572889602728079,88.82794038865481,1132.4191625820167,0,0,1,0,1,1,1
8.261351821294596,27.37131730492252,204.53214976076657,1,0,0,1,5,0,0
22.71290097359517,73.80673796499887,1797.6216109162929,1,0,0,0,1,0,0
3.605628689456128,24.30254586129785,88.97744820696522,1,0,0,0,4,0,0
8.292372288057654,78.99289947300579,706.2177986652838,0,1,0,0,6,0,1
10.95065323730033,63.93075553107549,713.6574859614963,1,0,0,0,4,0,0
14.6144325086346,20.0,310.4199634367745,1,0,0,0,5,0,0
36.91046426474189,99.94218063371514,3637.026528019122,0,0,1,0,2,0,1
5.3456606910885665,42.96225269605853,241.1382730282287,1,0,0,0,4,0,1
17.328699720795065,40.692426889568566,763.39782404829,0,0,1,1,6,1,0
21.540113311434254,71.01707591692829,1551.7813906257154,1,0,0,1,3,1,1
1.1415323941538051,99.45912048286147,106.28734475870627,0,0,1,1,6,0,0
22.447992495590643,34.52534543064809,739.1871835497283,0,1,0,1,4,0,0
4.487070047457994,66.85039549543914,281.88334765565776,0,0,1,0,3,0,0
1.6143343411033018,77.86449500991719,119.33534793083405,0,0,1,0,5,0,0
71.36850704416634,85.79316821789432,5885.869386970925,1,0,0,1,6,0,1
72.0,70.29324665831676,5116.921432747671,1,0,0,0,2,0,0
39.65595774750904,53.98916482750033,2178.6699148627135,1,0,0,0,3,0,0
8.718908639250198,40.172293380538406,345.10973733746295,0,1,0,0,3,0,0
2.4666555600601496,67.58431649139125,170.55552574509946,0,0,1,1,6,0,0
27.666018314367882,32.83582964043179,832.4141284406294,1,0,0,0,4,0,0
13.92218022204956,20.0,255.48805862769092,0,1,0,1,3,0,0
3.1236536149067673,78.09679412473004,227.93606767895855,1,0,0,0,5,0,1
16.405133475219603,92.11804523258586,1516.6726024404857,0,0,1,1,6,0,1
1.0,20.0,18.855978714793256,0,0,1,1,5,0,0
57.61014929743257,34.708078858701874,1912.871407920895,1,0,0,1,6,0,0
7.186986644176466,83.57462783015593,588.6743203200218,1,0,0,0,5,0,1
26.070139165559528,120.0,3323.546137962526,1,0,0,0,4,0,1
8.965117959782969,65.62381123026223,531.1237765855012,0,1,0,1,6,1,0
